book,chapter,verse,verse_end,book_to,chapter_to,verse_to_start,verse_to_end,votes
1,9,5,0,2,21,28,29,0
1,9,6,0,4,35,33,0,0
1,9,7,0,1,9,1,0,0
1,9,9,0,1,6,18,0,0
1,9,11,0,1,8,21,0,0
1,9,11,0,23,54,9,0,0
1,9,12,0,1,9,13,0,0
1,9,12,0,1,9,17,0,0
1,9,12,0,1,17,11,0,0
1,9,13,0,26,1,28,0,0
1,9,15,0,5,7,9,0,0
1,9,15,0,1,9,11,0,0
1,9,18,0,1,9,25,27,0
1,9,19,0,1,9,1,0,0
1,9,19,0,1,9,7,0,0
1,9,19,0,1,10,32,0,0
1,9,22,0,35,2,15,0,0
1,9,25,0,5,27,16,0,0
1,9,26,0,1,14,20,0,0
1,9,26,0,1,24,27,0,0
1,9,27,0,1,10,2,5,0
1,9,27,0,23,66,19,0,0
1,10,2,0,13,1,5,7,0
1,10,2,0,26,38,2,0,0
1,10,2,0,26,38,6,0,0
1,10,2,0,12,17,6,0,0
1,10,2,0,23,66,19,0,0
1,10,2,0,26,33,2,0,0
1,10,3,0,24,51,27,0,0
1,10,3,0,13,1,6,0,0
1,10,3,0,26,27,14,0,0
1,10,4,0,26,27,12,0,0
1,10,4,0,26,27,25,0,0
1,10,4,0,13,1,7,0,0
1,10,6,0,13,1,8,10,0
1,10,7,0,23,43,3,0,0
1,10,7,0,26,27,22,0,0
1,10,7,0,26,27,22,0,0
1,10,7,0,26,27,15,0,0
1,10,7,0,26,27,20,0,0
1,10,10,0,1,11,9,0,0
1,10,10,0,1,11,2,0,0
1,10,10,0,1,14,1,0,0
1,10,11,0,33,5,6,0,0
1,10,13,0,24,46,9,0,0
1,10,15,0,13,1,13,0,0
1,10,15,0,24,47,4,0,0
1,10,15,0,1,23,3,0,0
1,10,16,0,1,15,19,21,0
1,10,19,0,1,14,2,3,0
1,10,22,0,13,1,17,0,0
1,10,22,0,1,14,1,0,0
1,10,22,0,1,14,9,0,0
1,10,22,0,12,15,29,0,0
1,10,22,0,1,11,10,0,0
1,10,22,0,23,66,19,0,0
1,10,23,0,18,1,1,0,0
1,10,23,0,24,25,20,0,0
1,10,24,0,42,3,35,0,0
1,10,32,0,1,9,19,0,0
1,11,2,0,1,10,10,0,0
1,11,2,0,1,14,1,0,0
1,11,3,0,1,14,10,0,0
1,11,4,0,5,1,28,0,0
1,11,4,0,5,9,1,0,0
1,11,4,0,19,107,26,0,0
