book,chapter,verse,verse_end,book_to,chapter_to,verse_to_start,verse_to_end,votes
1,18,11,0,45,4,19,0,0
1,18,11,0,58,11,11,12,0
1,18,11,0,1,31,35,0,0
1,18,12,0,1,21,6,0,0
1,18,12,0,42,1,18,0,0
1,18,12,0,60,3,6,0,0
1,18,14,0,24,32,17,0,0
1,18,15,0,19,44,21,0,0
1,18,17,0,19,25,14,0,0
1,18,17,0,30,3,7,0,0
1,18,17,0,43,15,15,0,0
1,18,18,0,1,12,13,0,0
1,18,19,0,5,4,9,10,0
1,18,19,0,19,78,5,8,0
1,18,19,0,49,6,4,0,0
1,18,21,0,1,11,5,0,0
1,18,21,0,2,3,8,0,0
1,18,25,0,18,8,3,0,0
1,18,25,0,18,34,17,0,0
1,18,25,0,45,3,6,0,0
1,18,26,0,24,5,1,0,0
1,18,27,0,18,4,19,0,0
1,18,32,0,7,6,39,0,0
1,19,1,0,1,18,22,0,0
1,19,5,0,7,19,22,0,0
1,19,7,0,3,18,22,0,0
1,19,7,0,5,23,17,0,0
1,19,7,0,45,1,24,0,0
1,19,7,0,46,6,9,0,0
1,19,7,0,46,6,11,0,0
1,19,7,0,65,1,7,0,0
1,19,8,0,7,19,24,0,0
1,19,11,0,12,6,18,0,0
1,19,11,0,44,13,11,0,0
1,19,13,0,1,18,20,0,0
1,19,17,0,1,19,26,0,0
1,19,24,0,5,29,23,0,0
1,19,24,0,23,13,19,0,0
1,19,24,0,24,49,18,0,0
1,19,24,0,24,50,40,0,0
1,19,24,0,25,4,6,0,0
1,19,24,0,26,16,49,0,0
1,19,24,0,40,11,23,0,0
1,19,24,0,42,17,28,29,0
1,19,24,0,61,2,6,0,0
1,19,24,0,65,1,7,0,0
1,19,24,0,66,20,9,0,0
1,19,26,0,42,17,32,0,0
1,19,27,0,1,18,22,0,0
1,19,30,0,1,19,17,0,0
1,19,30,0,1,19,19,0,0
1,19,33,0,20,23,31,0,0
1,19,33,0,20,23,33,0,0
1,19,36,0,3,18,6,7,0
1,19,37,0,5,2,9,0,0
1,19,37,0,5,2,19,0,0
1,19,38,0,36,2,9,0,0
1,20,2,0,1,12,13,0,0
1,20,2,0,1,26,7,0,0
1,20,3,0,18,33,15,0,0
1,20,3,0,19,105,14,0,0
1,20,6,0,19,51,4,0,0
1,20,7,0,9,7,5,0,0
1,20,7,0,18,42,8,0,0
1,20,7,0,59,5,16,0,0
1,20,11,0,20,3,5,0,0
1,20,14,0,1,12,16,0,0
1,21,1,0,9,2,21,0,0
1,21,1,0,42,1,68,0,0
1,21,2,0,58,11,11,0,0
1,21,3,0,1,17,19,0,0
1,21,4,0,3,12,3,0,0
1,21,4,0,44,7,8,0,0
1,21,9,0,48,4,29,0,0
1,21,10,0,48,4,30,0,0
1,21,12,0,45,9,7,8,0
1,21,12,0,58,11,18,0,0
1,21,13,0,1,16,10,0,0
1,21,18,0,1,21,13,0,0
1,21,19,0,4,22,31,0,0
1,21,19,0,12,6,17,0,0
1,21,19,0,12,6,20,0,0
1,21,19,0,42,24,16,0,0
1,21,19,0,42,24,31,0,0
1,21,21,0,4,10,12,0,0
1,21,22,0,1,26,28,0,0
1,21,22,0,1,39,2,0,0
1,21,25,0,1,26,15,0,0
1,21,25,0,1,26,22,0,0
1,21,30,0,1,31,48,0,0
1,21,30,0,6,22,27,0,0
1,21,33,0,19,90,2,0,0
1,22,1,0,5,8,2,0,0
1,22,6,0,43,19,17,0,0
1,22,8,0,43,1,29,0,0
1,22,8,0,66,5,6,0,0
1,22,9,0,58,11,17,0,0
1,22,9,0,59,2,21,0,0
1,22,13,0,46,10,13,0,0
1,22,13,0,47,1,9,10,0
1,22,14,0,1,22,8,0,0
1,22,16,0,42,1,73,0,0
1,22,16,0,58,6,13,14,0
1,22,17,0,5,1,10,0,0
1,22,17,0,24,33,22,0,0
1,22,18,0,9,2,30,0,0
1,22,20,0,1,11,29,0,0
1,22,23,0,1,24,15,0,0
1,23,2,0,6,14,15,0,0
1,23,2,0,1,13,18,0,0
1,23,4,0,44,7,5,0,0
1,24,1,0,1,13,2,0,0
1,24,2,0,1,15,2,0,0
1,24,2,0,1,47,29,0,0
1,24,3,0,5,7,3,0,0
1,24,4,0,1,11,28,0,0
1,24,4,0,1,28,2,0,0
1,24,7,0,15,1,2,0,0
1,24,7,0,1,12,1,0,0
1,24,7,0,1,12,7,0,0
1,24,7,0,58,1,14,0,0
1,24,10,0,1,11,31,0,0
1,24,11,0,2,2,16,0,0
1,24,11,0,9,9,11,0,0
1,24,12,0,1,24,27,0,0
1,24,12,0,1,26,24,0,0
1,24,12,0,2,3,6,0,0
1,24,12,0,16,1,11,0,0
1,24,12,0,20,3,6,0,0
1,24,14,0,7,6,17,0,0
1,24,14,0,7,6,37,0,0
1,24,15,0,23,65,24,0,0
1,24,15,0,27,9,21,0,0
1,24,24,0,1,22,23,0,0
1,24,26,0,1,24,52,0,0
1,24,26,0,2,4,31,0,0
1,24,29,0,1,29,5,0,0
1,24,33,0,43,4,34,0,0
1,24,33,0,49,6,5,0,0
1,24,33,0,49,6,7,0,0
1,24,35,0,20,10,22,0,0
1,24,35,0,20,22,4,0,0
1,24,35,0,19,18,35,0,0
1,24,37,0,1,24,3,0,0
1,24,44,0,20,19,14,0,0
1,24,45,0,9,1,13,0,0
1,24,45,0,16,2,4,0,0
1,24,48,0,19,32,8,0,0
1,24,48,0,19,48,14,0,0
1,24,48,0,19,107,7,0,0
1,24,50,0,1,31,34,0,0
1,24,50,0,10,13,22,0,0
1,24,58,0,19,45,10,0,0
1,24,59,0,1,35,8,0,0
1,24,60,0,8,4,11,12,0
1,24,60,0,1,22,17,0,0
1,24,64,0,6,15,18,0,0
1,24,64,0,7,1,14,0,0
1,25,1,0,13,1,32,0,0
1,25,2,0,4,22,4,0,0
1,25,3,0,9,10,1,0,0
1,25,3,0,19,72,10,0,0
1,25,3,0,24,25,23,0,0
1,25,4,0,23,60,6,0,0
1,25,6,0,7,6,3,0,0
1,25,8,0,1,15,15,0,0
1,25,8,0,18,5,26,0,0
1,25,8,0,1,35,29,0,0
1,25,8,0,1,49,33,0,0
1,25,13,0,13,1,29,0,0
1,25,16,0,1,17,20,0,0
1,25,17,0,9,15,7,0,0
1,25,18,0,1,16,12,0,0
1,25,21,0,9,1,11,0,0
1,25,21,0,42,1,13,0,0
1,25,21,0,13,5,20,0,0
1,25,21,0,14,33,13,0,0
1,25,21,0,15,8,20,0,0
1,25,21,0,20,10,24,0,0
1,25,23,0,39,1,2,0,0
1,25,23,0,39,1,4,0,0
1,25,23,0,45,9,10,0,0
1,25,23,0,45,9,12,0,0
1,25,26,0,28,12,3,0,0
1,25,27,0,58,11,9,0,0
1,25,33,0,1,27,36,0,0
1,25,33,0,58,12,16,0,0
1,26,1,0,1,12,10,0,0
1,26,1,0,1,20,2,0,0
1,26,3,0,1,13,15,0,0
1,26,3,0,1,15,18,0,0
